n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
8,3.34,2.936392344357273,9.6,7.8383671769061705,2.3833333333333337,2.8085187871505823,9.25,11.517378173872732,6.053225108225108,0.9458264525096024,3.737588554510406,0.25987015965903515,0,0
10,4.933333333333334,1.9624248039380037,25,0,3.866666666666667,2.6465910988372277,8.283333333333335,4.918671907469874,8.776914146461817,1.6937130069933322,4.0051109423869535,0.22034344976405193,0,0
12,6.261904761904762,5.057469274731444,35.2,3.9191835884530852,8.940000000000001,7.92919780165546,20.29309523809524,13.227201418652944,10.295235539654144,1.418729591050563,4.302285724697397,0.3432187392779554,0,0
15,8.465151515151515,4.010701793914147,56.33333333333333,5.071708018234314,16.99952380952381,7.007037343671069,36.935164835164834,23.902079340759855,16.031852266645437,5.071305249563092,4.348332571269826,0.5923359749306851,-1,-1
16,11.784285714285714,6.602087486823653,55.78666666666667,4.836601194135309,14.745376845376844,9.215611790415752,26.366483516483516,13.464723507482615,17.80261223003281,3.993274748006904,4.424338411795838,0.21445311591646654,-1,-1
20,19.696103896103896,7.85679016059314,79.08571428571429,2.7665642141509053,35.06218253968254,23.08066063275473,29.020238095238096,30.54004704349679,16.619464417583096,3.355427080422666,5.2076174436741525,1.0359383697911062,-1,-1
24,20.174285714285713,9.619700873621754,101.19757575757575,7.766201265333256,14.782327476445124,6.441678903429537,68.90343943638061,28.049161586479308,22.030918618672754,6.706391556133592,5.645702617284359,1.012712960175117,-1,-1
28,20.538958818958818,3.7794240005949695,121.33334900393724,17.937444961013384,31.16616913859561,14.188665549286787,44.662143170838824,17.633185278405453,23.967893986098982,2.944459093104645,5.728861562601759,0.7604148442283651,-1,-1
32,16.38321041921042,5.950375520077168,140.8529292929293,5.641915863494783,28.431365079365083,14.501684387132274,37.19139194139194,12.79499342845679,23.011223156978705,2.3995629450270695,5.239469649487254,0.4645266812611091,-1,-1
36,24.712563706563706,6.502577979826009,181.82466905075603,12.517574619356305,21.443939393939395,5.974234060249685,38.234485883681536,18.427332303481464,23.729708898408198,3.05213133959865,7.386272289200915,0.908397031777127,-1,-1
40,23.092413045036732,7.674189575515296,194.24287921229097,13.84093751598735,26.20376004749726,2.4660499260820434,46.18935504469987,21.768086093548604,25.745313528600963,5.924745516330494,6.092972089108118,0.7696750271971697,-1,-1
44,24.36980415715487,7.007814879686208,219.51111111111112,8.63801531846149,32.94318138965056,15.256422604382006,75.79977723023777,35.0643365823278,27.9398267766153,1.6817090752276163,7.878483305197496,1.7234505121735093,-1,-1
48,24.10461555142165,11.248888995918838,248.19022222222225,12.816569029151768,25.345820954644484,5.177435129052646,48.807108184043614,14.323100894020216,27.005281942489624,3.73900909238679,7.307392452410474,1.1662205718238772,-1,-1
52,32.186482571057006,9.295483648699264,267.9635382308846,24.81548271724941,38.374862914862916,10.602042481945356,89.9456453350571,36.629059422663204,33.814214579693385,6.142863823152462,9.989097455165705,3.789973402315138,-1,-1
56,28.450938339374403,9.064691347530127,288.0976264189886,21.521164417651388,20.123255494505493,6.576550091409752,74.74103156195574,45.59043426744644,30.018054896458086,5.751105172697859,9.563738655016612,1.0527110429249686,-1,-1
60,22.36344907239339,9.646297054677634,324.38663145639896,16.969398510724805,37.842947815781415,15.457292051366043,65.4696825206021,18.443302996144663,30.37170330503496,6.596054171731202,9.02833339282502,1.8827628426348202,-1,-1
64,28.900084577114434,6.6581734103987955,332.1519996897902,27.66388711893432,22.38634526119359,5.915706254495103,90.47072029856936,39.487811292055355,35.155367721959514,5.926544740841673,8.82838044964434,2.2211218443703666,-1,-1
68,26.218082499251818,5.9741484609834155,380.38034585569466,31.188216726899512,30.19363456944594,9.143013548607692,72.32830349531116,29.15709857528079,36.79939373213985,3.3341428433363425,10.646548068923988,3.946595937216203,-1,-1
72,41.30930175496506,7.997341332467344,380.0509117950514,13.178050878399496,47.07819768925494,18.518631330016575,72.68962862318841,22.80906131495615,38.47561088001287,3.346636446141133,10.70192751949691,1.4786828995100563,-1,-1
76,33.927159375195,12.364970261258662,411.12672268907573,17.030449113036855,38.25574327147872,10.637361506464007,72.4572860015658,9.03759647099079,37.64418963866949,2.6705006563963196,9.64708404000223,1.965723023636705,-1,-1
80,41.39053487778743,6.90068405702472,424.37980623838996,15.446415130191234,34.96955632228912,11.7707157341443,71.29082683082683,22.046022067389078,38.6456659524779,2.8984848273587676,17.717469160347264,3.8701297542264044,-1,-1
84,39.43422778290595,14.035734264617778,456.2661551523537,26.243694448364057,33.33803146371973,7.7823323868087035,79.07347596847596,27.39839050136438,42.83558053447425,4.550630253432447,11.321134367841918,2.050936696227097,-1,-1
88,45.38169928897297,8.00007465281945,468.37726379440664,20.413566177919602,47.099581596697874,24.07350632927599,88.30529989907008,42.966840277278926,44.23603170203493,2.4289096131284627,12.974436756221206,4.666818157764763,-1,-1
92,28.5114815798644,14.311662530468604,514.6792303084756,22.73589802045725,38.07074165915238,14.799087624816384,76.51390314442767,53.97184301009489,39.863106067286594,4.422818522538472,10.456927364220117,2.783168011593027,-1,-1
96,46.18219554638909,11.684638833539099,531.4996935978068,39.80318898747119,40.46479750297756,17.420266239235787,77.93197455648927,20.872495248872344,40.66048957138891,3.505908007266269,9.734213143167883,1.4179862414478768,-1,-1
