n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
8,2.2,2.0396078054371136,1,0.8944271909999159,2,1.6733200530681511,1.8,1.5999999999999999,23.4,5.043808085167396,2445.2,309.7466061153859,0,0
10,2.4,1.019803902718557,1.6,0.4898979485566356,2.8,0.9797958971132712,2.6,1.019803902718557,29.2,5.455272678794342,3990.6,327.55677370495636,0,0
12,5.4,2.870540018881465,2.6,0.8,3.2,0.9797958971132712,6.2,2.4819347291981715,52.6,5.499090833947008,4602,500.4801694373115,0,0
15,6.8,3.3105890714493698,4.2,1.9390719429665317,7.6,2.4166091947189146,8.4,2.4166091947189146,62.2,6.3999999999999995,6253,1149.3829648989931,-1,-1
16,7.8,1.32664991614216,5.8,2.2271057451320084,9,2.756809750418044,8.8,3.059411708155671,85,7.4565407529228995,5987.4,392.8300395845511,-1,-1
20,10.6,2.33238075793812,5,1.6733200530681511,11,3.7416573867739413,9.2,4.707440918375928,113.8,14.019985734657507,6751,1639.3229090084724,-1,-1
24,15.8,3.1874754901018454,9.4,3.6110940170535577,13.8,4.48998886412873,12.6,4.223742416388575,142.2,14.048487463068755,7440.8,2309.4287951785827,-1,-1
28,23.8,5.30659966456864,11.6,3.32264954516723,20.6,7.552483035399682,19.6,4.758150901348127,181.2,7.652450587883596,8329.2,1450.9540861102394,-1,-1
32,21.8,6.241794613730894,12.4,2.65329983228432,20.4,4.841487374764082,20.8,5.418486873657627,221,18.62256695517565,11499.6,1771.1487345787762,-1,-1
36,29.6,3.97994974842648,20,2.6076809620810595,27,9.486832980505138,25,5.621387729022079,255.4,16.68052756959443,8105.2,1465.0492687961043,-1,-1
40,27.6,5.2,18.6,2.576819745345025,30.4,4.409081537009721,29.4,5.535341001239218,311,15.297058540778355,11579,2549.1828494637257,-1,-1
44,37.2,4.664761515876241,22,2.5298221281347035,31.8,6.241794613730894,35.8,2.1354156504062622,341,17.35511451993331,10165.4,3265.0455188251203,-1,-1
48,41.8,3.54400902933387,29,4.69041575982343,34,5.549774770204643,37.8,4.707440918375928,377.8,15.967466924969658,11587.4,1797.0264995263703,-1,-1
52,43.2,7.678541528180987,26,2.1908902300206643,43.4,2.1540659228538015,42.2,7.05407683541936,405,16.745148551147583,10190.8,4184.739102978822,-1,-1
56,47.8,2.785677655436824,30,7.720103626247513,38,3.40587727318528,45.4,8.593020423576334,454.2,25.03916931529479,9268.6,875.0752196240046,-1,-1
60,45.8,4.308131845707604,33,9.633275663033837,56,11.135528725660043,53,5.176871642217914,494.2,9.260669522232181,11495.8,3301.980944826908,-1,-1
64,56,9.777525249264253,36,4.69041575982343,52.4,11.80847153530041,56,5.019960159204453,527.6,30.08388272813202,14036.6,4167.353241567122,-1,-1
68,59.2,6.305553108173778,40.6,5.885575587824865,62.2,2.638181191654584,62.2,8.930845424706442,612.8,11.05260150371848,12889.2,4947.000117242772,-1,-1
72,73.2,7.4404300950953095,47,6.06630035524124,72.2,11.651609330903607,64,4.604345773288535,628.8,11.196428001822724,11951.8,4256.624268126094,-1,-1
76,79.8,7.884161337770809,46.4,8.114185110040317,71.8,5.192301994298868,73.2,6.584831053261731,696.8,33.40898082851376,13623.8,5127.830746036769,-1,-1
80,83,8.694826047713663,50.6,7.552483035399682,69.2,9.064215354899728,71.8,5.706137047074842,726.6,18.227451824103113,7806.4,2127.854938664758,-1,-1
84,77.2,17.859451279364663,50.6,9.393614852653903,75.2,7.858753081755401,74.8,14.274452704044384,770.6,38.62952238897085,13419,2359.71727120009,-1,-1
88,90.8,13.526270735128733,58.2,7.756287771866127,79,12.409673645990857,86.8,4.166533331199932,812.2,41.571143838003785,14194.4,6740.614233139291,-1,-1
92,84.6,15.447977213862014,61.4,4.223742416388575,87,6.899275324264136,80.8,10.087616170334794,886.2,22.497999911103207,14785.6,5160.899092212519,-1,-1
96,105.4,6.740919818541086,56.4,9.090654541890808,91.6,7.08801805866774,98.8,8.034923770640267,932.6,31.487140232164624,17850.8,2133.3452978831156,-1,-1
100,96.2,10.264501936285072,64.8,10.4,94.6,3.7735924528226414,91.8,6.8527366796047255,963.8,49.06485503901953,20134.4,6492.780439842394,-1,-1
104,100,10.881176406988354,66.8,6.3999999999999995,95.8,11.214276615100948,93.2,6.209669878504009,1004,31.330496325465386,13889.2,5476.0355513820405,-1,-1
108,113,7.874007874011811,63.6,9.562426470305537,103,12,104,18.72965562950905,1087.6,29.90384590650507,18800.2,3482.346932745214,-1,-1
112,119.6,9.76933979345585,77.2,5.979966555090422,119.6,9.264987857520376,99,14.352700094407323,1145,21.288494545176274,13886.8,5458.413190662649,-1,-1
116,112.6,16.906803364326446,75,11.781341180018513,119.8,21.62775993948518,117,9.444575162494075,1149.2,31.789306378088842,18300,7747.755545962973,-1,-1
120,120.2,17.428711943227476,82.4,6.590902821313632,114.4,14.987995196156156,124,6,1201.6,20.441134997841974,14474,3165.5942254180336,-1,-1
124,122,8.024961059095553,89.4,6.019966777316965,114.8,11.142710621747296,118.2,5.03587132480567,1243.8,47.6294026836365,14383.2,4994.421904485043,-1,-1
128,131,11.523888232710346,93.6,2.727636339397171,122,10.256705123966467,128,13.579396157414365,1328.8,25.52959067435277,16486.2,5431.32651936891,-1,-1
132,148.6,23.465719677862,90.8,10.186265262597475,139.2,20.42939059296679,117.8,13.407460609675494,1331.4,56.97929448492672,14864.6,4649.241168190784,-1,-1
136,146.8,15.223665787188052,100,4.049691346263317,133.6,21.00095235935742,137.8,11.303096920755834,1382.6,53.72746039038138,17375.8,3748.245530911762,-1,-1
140,160.4,15.12084653714864,99.8,11.513470371699404,140.4,10.744300814850634,144.8,15.038616957685969,1454.6,15.576905982896603,16069.6,6572.138543883566,-1,-1
144,149.4,18.11739495622922,110.2,5.775811631277461,158.6,13.032267646115928,151.4,23.9131762842162,1486,31.641744578957717,22208,5581.37158770136,-1,-1
148,153.8,9.703607576566563,104.2,8.726969691708572,158.6,20.155396299750596,152,15.349267083479914,1543.2,46.378443268397874,113791.6,193428.77179840647,-1,-1
152,173.4,21.91437884129961,112,10.059821071967434,163,12.13260071048248,156,17.134759992483115,1570.4,61.95675911472452,16590.4,2293.40102031895,-1,-1
156,157.8,10.703270528207723,104.8,21.160340261914502,160.6,13.047605144240071,159,13.579396157414365,1630.8,13.833293172632466,119229.2,205798.73039103035,-1,-1
160,171.4,8.16333265278342,108.6,20.8096131631513,165.2,13.804347141389918,156.6,27.02295320648726,1740.4,79.40680071631145,120901,210801.27922572006,-1,-1
164,175.4,10.248902380255165,121,9.654014708917737,169.4,11.038115781237302,173.6,13.440238093129155,1729.8,50.5070292137639,125969,215464.2334189134,-1,-1
168,176.6,10.190191362285598,113.8,16.939893742287758,176.4,11.672189169131899,179.8,17.10438540258024,1836,28.199290771223307,241543,270869.6430144951,-1,-1
172,198.4,22.041778512633684,141.2,7.573638491504595,184,15.937377450509228,182.4,20.597087172704786,1851.2,57.01017453051692,359191.6,278364.1969216587,-1,-1
176,189.8,23.625410049351522,121.6,15.882065356873458,199.6,24.5161171477051,194.6,9.090654541890808,1907.2,55.79749098301823,17221,4306.0676724826335,-1,-1
180,197.4,20.095770699328753,135.8,12.639620247459968,189,22.733235581412515,191.4,13.850631754544628,1940.8,18.946239732464065,257550.2,292076.1936532315,-1,-1
184,191.8,20.073863604199367,133.4,5.314132102234569,195,7.483314773547883,201.8,16.749925372968082,2013.6,49.753793825194876,137396,244899.95379583066,-1,-1
188,222.4,9.350935782048769,150,8.555699854482976,196.8,13.555810562264435,217.4,12.658593918757328,1974.6,96.31116238526042,19169.2,10759.577434081693,-1,-1
192,224.2,25.372425977820882,144.4,7.172168430816443,213.8,16.4851448279959,212,32.02499024199695,2124.6,61.60714244306418,282394.2,306702.3644124055,-1,-1
196,217.4,23.009563229231446,160.8,20.063897926375123,209.8,15.841717078650282,199.2,13.702554506368513,2179,48.60864120709403,279899,319970.3144774527,-1,-1
200,245,15.28397853963424,152,15.582040944625964,222,18.286607121059937,204.6,28.415488734139345,2157.8,61.91090372462673,283657.4,329024.60659385344,-1,-1
