n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
8,15.2,0.4,15,0,15.2,0.39999999999999997,15.4,0.7999999999999999,15,0,15,0,15,0
10,24.4,0.7999999999999999,23.6,0.7999999999999999,24.2,0.7483314773547882,24.2,0.9797958971132713,23,0,23.8,0.7483314773547882,23,0
12,21.4,0.4898979485566356,22,0.6324555320336759,23,0.8944271909999159,21.2,0.4,21,0,21,0,21,0
15,34.6,1.4966629547095764,34.6,1.7435595774162693,33.8,1.6,33.2,0.7483314773547882,32.8,0.4,33.4,1.0198039027185568,-1,-1
16,26.2,1.9390719429665317,26.2,1.469693845669907,26.2,1.16619037896906,27,2.0976176963403033,25,0,25.4,0.4898979485566356,-1,-1
20,33.4,2.3323807579381204,35,1.6733200530681511,32.6,1.3564659966250538,35.4,1.8547236990991407,30.8,1.1661903789690602,31,0.6324555320336759,-1,-1
24,39.6,0.4898979485566356,39,2.280350850198276,40.2,1.7204650534085253,39.2,1.16619037896906,37.8,1.16619037896906,38,1.0954451150103321,-1,-1
28,43.2,1.8330302779823362,42.6,1.3564659966250536,42.6,2.0591260281974,44.6,2.939387691339814,41,0.6324555320336759,42,1.2649110640673518,-1,-1
32,49.8,3.3105890714493698,50.6,1.3564659966250536,50.8,3.54400902933387,50.4,1.6248076809271923,47.4,0.8,47.8,1.16619037896906,-1,-1
36,56.4,1.8547236990991407,54.2,0.9797958971132712,55.4,2.9393876913398134,57.2,1.6,52.4,1.3564659966250536,53.2,2.315167380558045,-1,-1
40,57.2,1.16619037896906,57,2.280350850198276,55.8,2.2271057451320084,58,3.40587727318528,53.4,1.2000000000000002,53.4,1.7435595774162693,-1,-1
44,65.2,1.7204650534085253,65,1.7888543819998317,67.2,4.308131845707604,65,1.8973665961010275,62.6,1.019803902718557,62.6,2.870540018881465,-1,-1
48,72,2.280350850198276,69.4,1.9595917942265424,71.6,1.624807680927192,73.8,1.5999999999999999,68.8,1.16619037896906,70.2,5.230678732248808,-1,-1
52,74,3.286335345030997,75.2,1.16619037896906,73.4,1.9595917942265424,74.2,3.867815921162743,70.6,0.4898979485566356,68.4,1.2,-1,-1
56,80.2,1.9390719429665317,80.2,3.709447398198282,84.8,3.6551333764994136,84,5.215361924162119,74.8,1.7204650534085253,75.2,4.707440918375928,-1,-1
60,88.2,2.1354156504062622,86,4.427188724235731,82,4.8166378315169185,81.8,1.8330302779823358,78.6,1.2,78,3.63318042491699,-1,-1
64,93.8,1.4696938456699067,90.4,1.4966629547095764,95.4,2.244994432064365,89.8,1.5999999999999999,85.8,1.16619037896906,84,6.164414002968976,-1,-1
68,99.4,3.006659275674582,98.6,4.223742416388575,97.2,3.249615361854384,96.4,5.6780278266313555,90,0.6324555320336759,91.6,2.416609194718914,-1,-1
72,97.2,2.5612496949731396,100,3.3466401061363023,96.6,5.6780278266313555,101.6,2.8705400188814645,94.4,2.0591260281974,89,4.427188724235731,-1,-1
76,107.4,1.4966629547095764,107.8,6.554387843269576,104.4,3.7735924528226414,106.8,2.7129319932501073,99.6,3.49857113690718,101.2,4.48998886412873,-1,-1
80,111.2,2.4,110.8,4.791659420284375,111.4,4.8,111.4,6.053098380168622,105.4,1.4966629547095764,100,4.1952353926806065,-1,-1
84,117,3.7416573867739413,116.8,8.634813257969162,113.8,0.7483314773547882,115.8,3.7629775444453557,108,2.1908902300206643,103.6,2.576819745345025,-1,-1
88,121,5.796550698475776,119.2,5.635601121442148,120.6,4.029888335921977,122.6,6.216108107168021,115.4,3.0724582991474434,112.6,1.7435595774162693,-1,-1
92,128.8,4.534313619501853,124.8,2.5612496949731396,126.8,4.354308211415448,130.4,7.631513611335565,120.4,1.8547236990991407,118,4.33589667773576,-1,-1
96,128.8,2.85657137141714,133.6,2.0591260281974,133.4,5.2,129.8,3.1240998703626617,123.4,2.1540659228538015,118.6,1.8547236990991407,-1,-1
100,139.8,8.908422980528035,137.2,2.7856776554368237,138,4.242640687119285,139.8,4.874423042781576,130.2,3.1874754901018454,122.8,4.354308211415448,-1,-1
104,143.8,3.5440090293338695,143,4,145.6,9.09065454189081,146.2,2.5612496949731396,139,2.8284271247461903,132.2,3.1874754901018454,-1,-1
108,150,4.147288270665544,151.8,6.4621977685614045,149.2,5.192301994298868,147,7.5099933422074345,138.4,1.3564659966250536,137.6,4.586937976471886,-1,-1
112,151.2,5.035871324805668,150,1.7888543819998317,146.8,3.655133376499413,150.6,3.49857113690718,143,1.4142135623730951,142.4,7.391887445030532,-1,-1
116,160,4.69041575982343,156.4,7.08801805866774,155.4,4.223742416388575,152.2,4.166533331199931,146,2.6832815729997477,139.4,3.6110940170535573,-1,-1
120,161.8,6.675327707311454,159,1.8973665961010275,165.2,6.1773780845922,163,3.0983866769659336,152.8,1.7204650534085253,145.4,5.083306010855534,-1,-1
124,167,5.215361924162119,163.8,3.9191835884530843,170.6,7.889233169326409,167,6.957010852370434,158.6,2.1540659228538015,157.6,10.594338110519223,-1,-1
128,171.4,3.7202150475476548,168,3.5777087639996634,174.2,6.337191807101943,168,5.215361924162119,161.8,1.1661903789690602,157.4,5.4258639865002145,-1,-1
132,178.2,8.840814442120138,178.8,6.144916598294887,180.4,5.425863986500215,189.4,7.1442284397967,167.4,3.3823069050575527,156.8,2.227105745132009,-1,-1
136,181,5.796550698475776,175.8,4.791659420284375,182.8,6.8527366796047255,178.4,7.657675887630659,169.8,1.469693845669907,161.6,3.826225293941798,-1,-1
140,182.6,5.748043145279966,185.6,5.535341001239218,184,8.899438184514796,185.4,4.715930449020639,175.6,1.4966629547095764,173.2,8.97552226892675,-1,-1
144,192,4.979959839195493,186.8,3.7094473981982814,185.2,5.491812087098392,191.4,10.9288608738514,180.4,2.8705400188814645,172,5.215361924162119,-1,-1
148,199,5.761944116355173,196.6,2.4979991993593593,193.8,5.635601121442148,197.6,2.8705400188814645,184,3.8987177379235853,176.6,4.127953488110059,-1,-1
152,198.8,5.418486873657626,196.6,4.317406628984581,201.2,5.15363949069005,203.6,6.945502141674135,188.8,1.7204650534085253,178.8,4.019950248448356,-1,-1
156,212,6.2289646009589745,207,10.620734437881403,206,3.286335345030997,210.2,4.019950248448356,198.2,2.9257477676655586,190.4,7.337574531137657,-1,-1
160,210,4.9396356140913875,212.8,7.959899496852959,207,4.560701700396552,212,12.016655108639842,198.8,2.7129319932501073,197.4,9.666436778875658,-1,-1
164,221.4,6.770524351924302,214.8,6.11228271597445,215.8,3.187475490101845,214.6,6.019966777316965,205,4.147288270665544,198.4,5.0039984012787215,-1,-1
168,226,7.3484692283495345,227.4,11.324310133513652,219.8,3.2496153618543837,224.4,5.9531504264548865,210.2,2.85657137141714,202,8.62554346113913,-1,-1
172,226.4,3.261901286060018,218.2,3.4292856398964493,222.8,4.308131845707603,224.2,8.28009661779378,216.2,3.370459909270543,203.8,5.268775948927796,-1,-1
176,234.2,4.308131845707603,232,11.081516141756055,227.6,5.314132102234569,228.4,6.2801273872430325,219.2,0.9797958971132713,209.8,6.968500556073738,-1,-1
180,238.6,10.836973747315252,235.6,7.863841300534999,237.2,5.844655678480983,236,6.356099432828281,225.6,2.0591260281974,222.4,12.784365451597509,-1,-1
184,245.8,11.651609330903607,241,8.07465169527454,239,8.221921916437786,234.4,8.8,228.2,2.4819347291981715,214.6,3.6110940170535573,-1,-1
188,242,7.615773105863909,240,4.69041575982343,247,5.0990195135927845,235,5.403702434442518,232.2,2.7129319932501073,229,5.176871642217914,-1,-1
192,253.8,7.413501197140255,253.8,7.05407683541936,251.6,3.1368774282716245,252,12.214745187681975,237.8,1.469693845669907,224.2,3.867815921162743,-1,-1
196,257.4,7.172168430816442,247.4,10.461357464497617,254.4,9.09065454189081,257.6,7.49933330370107,240.8,1.32664991614216,233.4,8.97997772825746,-1,-1
200,255.2,6.764613810115105,259.6,6.151422599691879,259.6,6.499230723708768,263.4,9.769339793455849,245.2,3.059411708155671,229.6,4.673328578219168,-1,-1
