n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
8,-0.5599999999999999,0.32,-1.02,0.61773780845922,-0.8,0.48476798574163293,-0.5700000000000001,0.2908607914449798,-0.8858252688172044,0.05903738177227721,-0.0013794982017161863,0.0007009622747531552,0,0
10,-0.32222222222222224,0.27307123838765573,-0.7666666666666666,0.6463573143221772,-0.8666666666666666,0.5517648452415617,-0.7,0.4,-0.8439189708141323,0.08711578446796454,-0.002570765453358833,0.0021376201024531087,-1,-1
12,-0.8278571428571428,0.10157936476932101,-1.4733333333333334,0.3504917180825311,-0.8857142857142858,0.05714285714285716,-0.7916666666666667,0.2006932429798716,-1.0145050505050506,0.045103361663445155,-0.004973811564283985,0.002155538651715471,-1,-1
14,-0.583034188034188,0.11836523755567557,-0.9095238095238095,0.3834442312228076,-0.803968253968254,0.3516450739019332,-0.6138888888888889,0.04999999999999997,-0.6375423047406958,0.05087930678841222,-0.0031792757271015097,0.000619528095600648,-1,-1
16,-0.9378282828282828,0.25996634740968316,-1.3383333333333334,0.34934860017530406,-1.1466666666666667,0.3145366963222787,-1.184761904761905,0.3013860648581864,-0.856986273965252,0.05450977184450773,-0.007579636726660723,0.0016634238830839877,-1,-1
18,-0.6893589743589743,0.17402947750339653,-1.6966666666666668,0.4258847000982517,-0.7206349206349205,0.17106074589334724,-0.8911904761904761,0.2744708369987817,-0.784652534840961,0.09137368607069087,-0.014362532960257352,0.003922199657393072,-1,-1
20,-0.9722222222222223,0.36430214023900004,-1.26,0.332264954516723,-1.0785026737967915,0.7995933587976699,-0.7960317460317461,0.21333711258935167,-0.7896427528859219,0.05176969709721066,-0.021213671647586568,0.005917653254950014,-1,-1
22,-0.9171212121212122,0.1367029448590983,-1.137936507936508,0.18621855293794395,-0.8617854367854367,0.2903726396229126,-0.9619696969696971,0.1544209242781326,-0.7019489362376601,0.04424833040401455,-0.01910585973912852,0.010149081822482604,-1,-1
24,-0.9503246753246752,0.245163291014139,-1.0834920634920635,0.2596499377990347,-0.7777450980392157,0.21166240947866238,-0.8551087801087801,0.20062242582587494,-0.7312096065827409,0.0677817782846104,-0.01620626500890668,0.0033072604836699667,-1,-1
26,-0.6653246753246753,0.08712989927380553,-1.0801587301587303,0.1675787589869099,-0.7780725668193698,0.12068915266030258,-0.7116993464052288,0.06771203976980525,-0.7526075336547808,0.04730772522944155,-0.03819566427776286,0.016839080041239827,-1,-1
28,-0.5957875457875457,0.04381693494592765,-1.0433333333333334,0.26364959911046915,-0.7255639097744361,0.09344627577378137,-0.6809576584256891,0.09386016602880128,-0.7209063374707547,0.04182306254464197,-0.12981513691498983,0.04621125989362355,-1,-1
30,-0.8765058479532165,0.1035166556286703,-1.1512043512043513,0.16384704389228613,-0.9196153846153848,0.04786637657661818,-0.7916666666666666,0.1456784892227477,-0.8185734170320964,0.040736197395941316,-0.04987165247644493,0.011712967772755203,-1,-1
32,-0.7847287784679089,0.11823092452213577,-1.0283753501400559,0.15319674089894672,-0.7408076923076923,0.14548675695644653,-0.8415311004784689,0.14954412078161616,-0.7459114117006705,0.023804818755362656,-0.03757970971948003,0.005488457672231273,-1,-1
34,-0.6968173903839538,0.15092095893543375,-1.388205128205128,0.34898029347428644,-0.731881246455045,0.1560005520320249,-0.8593576793576793,0.295299606338101,-0.7462769923918168,0.05146635522563501,-0.03857789253775289,0.015669927693231257,-1,-1
36,-0.6914882081865004,0.15889368997940245,-0.9427412008281575,0.13948191677100308,-0.771041921041921,0.1183594062146058,-0.6413022819716533,0.06118787767702258,-0.7783966508330642,0.029683093142822678,-0.10420195169042135,0.05587474029438474,-1,-1
38,-0.7171353276353276,0.080059333035146,-1.0936144709600089,0.2528646989735792,-0.7264652675911256,0.08927536048110857,-0.8033882783882784,0.1846939516813692,-0.70275840654841,0.020465691766662568,-0.06801099221511359,0.028797099441068633,-1,-1
40,-0.826392961876833,0.1276404542117422,-1.208255404725993,0.16941358501173248,-0.777411553963278,0.11081783843311671,-0.8828712161192979,0.15113137054867307,-0.68942874263217,0.02246692656733907,-0.11286257594864164,0.05213968709640373,-1,-1
42,-0.6904302432435424,0.10146802967959957,-1.0842226890756304,0.15247227616964695,-0.6686881897804485,0.14089743179747163,-0.7163219133807368,0.10593679859663825,-0.7066741529380687,0.013681557832603867,-0.06837190840501996,0.018361033066533975,-1,-1
44,-0.7809708384182438,0.070702168260463,-1.1829598506069092,0.21115260970155422,-0.625894977102986,0.05634986369772535,-0.7723573042538561,0.09167290696491066,-0.73206914037934,0.02571298019756687,-0.14728701758980858,0.02314503774618966,-1,-1
46,-0.6602375451763661,0.05071057551930625,-0.9585093616061359,0.08232626239156829,-0.6184905898699002,0.07743304164494717,-0.6992780148720353,0.05787357663094337,-0.6952857273529024,0.054703787594091384,-0.1250619630522622,0.04815705451141107,-1,-1
