n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
8,7.199999999999999E-06,4.979558213335797E-06,7.980000000000002E-06,4.618397990645675E-06,5.3379999999999994E-05,2.372677812093332E-06,5.666E-05,4.124366618039671E-06,0.0029632,2.468408394087185E-05,0.00147946,9.05963707882386E-05,7.6763167,0
10,9.66E-06,7.52770881477226E-06,9.94E-06,3.902614508249566E-06,0.00011982000000000001,9.263131220057292E-06,0.00010818,7.629259466029451E-06,0.0057636,5.049641571438504E-05,0.00168034,0.00014425181593311054,-1,-1
12,1.4660000000000002E-05,4.250929310162662E-06,2.6340000000000002E-05,6.620453156695544E-06,0.00021292,1.4229462393217816E-05,0.00019795999999999998,2.1527991081380537E-05,0.00953184,0.00010294018845912335,0.0023002,0.00022460038290261222,-1,-1
14,2.396E-05,1.1236654306331579E-05,5.36E-05,1.6790592604193575E-05,0.00028804,3.293257354049331E-05,0.0002808,9.452830264000304E-06,0.01468518,0.0001795910287291662,0.00278814,0.00041833665677298707,-1,-1
16,2.178E-05,7.116010118036652E-06,4.6120000000000006E-05,1.799859994555132E-05,0.0004217,3.4358055823925776E-05,0.0003814,1.1622564260953781E-05,0.02123208,0.00021122734103330384,0.0032241199999999996,0.0003728387447677614,-1,-1
18,3.2540000000000004E-05,1.1210637805227675E-05,3.638E-05,4.634393164158604E-06,0.00053346,1.331549473358012E-05,0.00063872,0.00010922055484202598,0.029227120000000002,0.00033586937579958007,0.00247122,0.0004184363961225171,-1,-1
20,3.588E-05,1.7158717900822313E-05,7.882E-05,2.185464710307627E-05,0.0006895199999999999,1.4087214060984544E-05,0.00069742,4.3970098930978096E-05,0.0382747,0.0008054379851981129,0.00280092,0.0002507204929797323,-1,-1
22,4.074E-05,7.851776868964119E-06,0.00010584000000000002,1.7478626948361825E-05,0.00089976,2.6129492915095032E-05,0.00088938,3.8540648671240623E-05,0.0482449,0.00030870227080473486,0.0028721,0.0006754727292792805,-1,-1
24,3.8480000000000004E-05,1.547222026730488E-05,0.00014206,4.591394559390425E-05,0.0011016399999999999,1.2893812469553009E-05,0.00111734,4.933565039603709E-05,0.06105508,0.00028729839818558326,0.0035573400000000004,0.00044165219166217203,-1,-1
26,7.884E-05,4.3530844237161304E-05,0.00015586,4.806656218204085E-05,0.0013819400000000001,1.6865894580483992E-05,0.0013656599999999999,3.542714213706774E-05,0.07553251999999999,0.0005744784848886822,0.0030174599999999996,0.0006162214361737184,-1,-1
28,7.632E-05,3.214239567922715E-05,0.00020763999999999998,9.653746630194931E-05,0.00166718,2.023080818949164E-05,0.0016422,2.1516598244146247E-05,0.09149221999999999,0.0005801131524108027,0.00242084,0.0004638231412941792,-1,-1
30,7.41E-05,3.6794184323069314E-05,0.00021332,4.614201556065795E-05,0.0019746200000000003,4.002011494236373E-05,0.0019465799999999998,2.7000696287318237E-05,0.10954976000000001,0.00045160097254102625,0.0036156600000000006,0.0005976677123619779,-1,-1
32,6.526000000000001E-05,9.69672109529814E-06,0.00028052,3.700958794690911E-05,0.0024002,4.547408052946208E-05,0.0023083,2.3842063669070277E-05,0.13108318,0.0009847312697380854,0.004758859999999999,0.00047246303389789123,-1,-1
34,8.868E-05,2.568979563951415E-05,0.00023548,5.163480996382189E-05,0.00281218,2.3191757156369156E-05,0.0027206,5.554382053838219E-05,0.15412834,0.0004183572664601442,0.0044501,0.0008715370032304997,-1,-1
36,0.00010328,2.9815928628838646E-05,0.00046743999999999996,6.893340554477196E-05,0.0031936200000000003,2.3787425249488452E-05,0.00317092,4.964805736380832E-05,0.17639275999999998,0.0004569442836933116,0.0036257999999999998,0.0007312414238813334,-1,-1
38,9.974E-05,3.091165475997686E-05,0.00038738,0.00010118314879464861,0.00376542,6.38458581272114E-05,0.0036234799999999997,2.8046418666204046E-05,0.23708140000000003,0.029714605328760465,0.005433160000000001,0.0019476643628715906,-1,-1
40,9.532E-05,3.4912370300510965E-05,0.00034144,6.818148135674379E-05,0.00419128,4.236146361966248E-05,0.0040697,6.609968229878257E-05,0.22948192,0.0013752295566922684,0.00398164,0.0007335767242763363,-1,-1
42,0.00011024000000000002,1.4870857406350185E-05,0.00039198,0.00010291369976830101,0.00477128,5.069265824554883E-05,0.00462614,8.114336941488202E-05,0.2586182,0.0008914819100800666,0.00456618,0.0002083194604447699,-1,-1
