n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
8,7.6833333333333345,1.6983652270475995,16,0,6.496666666666667,3.9703120504285025,11.1,10.75360404701605,7.6408109833971904,0.5706787873102177,5.026882217274794,0.2785808478177322,0,0
10,9.5,5.709640969448079,25,0,13.1,12.555476892575605,13.366666666666665,11.840795769053887,5.535570366077465,1.0401964950847638,4.967507362584497,1.7867575581832695,0,0
12,9.578974358974358,3.4112169073447434,48,0,12.131746031746031,6.66880464584051,19.567619047619047,7.318309533066274,15.5149839885943,2.162026641507791,4.706393705516981,2.38690968151395,0,0
15,25.04952766531714,4.15178784656677,75,0,13.535584415584413,10.096666262689608,31.286212121212124,21.10482897056859,17.87791437421749,4.743893235169304,5.958979460785434,0.6254237478188769,-1,-1
16,16.67909090909091,6.493721089671927,96,0,14.4,6.606997778950437,28.923611111111107,17.26252117582131,16.594118096184822,2.239344953497749,3.9994412716157113,1.8423487562618692,-1,-1
20,17.428084689903123,3.4602356885623107,160,0,36.48918948956101,17.398437759936296,45.81310606060606,18.896395966152962,30.12783954303576,3.688622112805003,6.2443884300505585,1.2037530552902216,-1,-1
24,42.05515291160452,15.935913505431975,240,0,25.327857268589533,4.738149282122078,113.88019047619048,51.28664386618303,35.52104152070348,6.870439016875946,7.711105468313235,2.454111462324825,-1,-1
28,68.89324813258636,15.048965606454276,336,0,32.08447293447294,11.717800254382245,100.82327629733521,56.92946132212411,45.62264188398911,8.114267744776297,5.668926907807092,0.4477038091828342,-1,-1
32,57.574191919191925,13.293521125644913,448,0,68.47656829309973,27.88972864632189,117.88661554528906,42.59183262337583,45.62532682640017,8.359216134761692,6.690648537696958,0.9392417635927789,-1,-1
36,85.9043599257885,18.380668776068415,576,0,59.58216619981325,26.175168829949847,122.42244205683815,43.93850875937677,60.836751290986584,5.45071023998673,6.652301024615409,0.9866837826872259,-1,-1
40,115.3800869292284,38.518707738746784,720,0,77.8352055451022,34.276986067032595,146.03201731331552,39.20065132260634,72.72703658585002,5.4341047953876425,6.792787417124506,0.7210796796770325,-1,-1
44,129.86775159954942,39.9946857353192,880,0,92.04861742321867,37.01140160316942,91.4600027576064,39.81017991026385,77.52189458293155,6.657097699711632,6.753827459154627,1.0033041296666811,-1,-1
48,95.80904292039398,29.962321631806226,1056,0,94.56424246251831,50.226935669773226,118.55304527077446,33.415537066646266,84.01362536156998,3.6433794102452475,6.842670324179428,1.205473749140847,-1,-1
52,141.53907867494823,32.984147621726216,1248,0,114.87002971322363,49.34367316564277,203.90360534441396,44.367593059736805,104.13880185511991,14.515093880541505,5.989767272821675,1.0194795434005994,-1,-1
56,137.69847297300615,15.531775553004495,1456,0,90.76631443649032,39.46725110228434,188.04731149447565,37.81272320316467,112.17000950904863,14.322944257662545,7.198998852490621,1.5254130003833544,-1,-1
60,252.31644905373614,44.708677492018914,1680,0,162.1613637176964,116.04024619988901,320.29899527002647,117.30461917941055,115.7529942867257,9.33714196496915,7.110413452512532,1.2326180155105821,-1,-1
64,172.1180150252257,45.99947567500004,1920,0,166.09411625027613,48.55944065518536,255.6461897299717,122.75183827984257,124.7378175271455,18.05841282476159,7.21463272939112,0.8245335569814447,-1,-1
68,304.6223386877545,29.653400349987205,2176,0,96.22491606800551,62.844576345860965,246.2852799163883,49.82602196111197,123.13939610741633,16.91224568389616,7.265535146279413,1.7371985246618669,-1,-1
72,216.08861019345795,29.769813709124364,2448,0,150.2181894591776,59.09190699488259,295.6822447976768,74.75614694073613,130.99694969738707,11.170778384704464,7.366745255561246,0.670222102152634,-1,-1
