n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
8,96,0,96,0,96,0,96.4,0.4898979485566356,96,0,96,0,96,0
10,176.6,1.9595917942265424,176.6,1.9595917942265424,177.4,1.9595917942265424,178.4,6.8,175,0,175.8,1.6,175,0
12,166.4,2.8,165,0,165.6,1.2,167,2.756809750418044,165,0,165,0,165,0
15,351,8.19756061276768,347,12,351,13.505554412907307,353.4,11.34195750300626,341,0,348.2,7.025667228100119,-1,-1
16,293.4,8.845337754998392,292.2,8.423775875461075,294.4,3.4409301068170506,292.8,8.207313811473277,286.2,1.8330302779823362,289,6.511528238439882,-1,-1
20,394.2,12.08966500776593,388,2.898275349237888,387.8,14.79729705047513,393.2,10.721940122944167,375.4,2.8000000000000003,380.6,9.243376006633074,-1,-1
24,564,22.40535650240808,556.4,14.786480311419616,555.6,10.556514576317317,563.6,8.8,537.2,3.249615361854384,548.8,18.170305445974208,-1,-1
28,722.8,36.8423669163641,716.4,24.52427368955093,741.4,15.21315220458929,742,23.958297101421877,702.6,9.971960689854328,720,22.785960589801782,-1,-1
32,986.6,19.46894963782073,995,10.256705123966467,1011.2,24.473659309551564,983.4,19.825236442474022,958.4,13.215142829345432,962.8,28.463309716194285,-1,-1
36,1122,56.89991212646993,1135.2,24.094812719753605,1113.8,49.503131214095944,1141.6,43.57338637287673,1062.4,21.758676430334635,1064,34,-1,-1
40,1295,68.49525531013079,1327.4,50.50782117652671,1254,30.35127674415032,1319.2,27.83810338367181,1255,15.709869509324385,1221.4,19.147845831842286,-1,-1
44,1649.6,56.183983482839665,1708.4,65.85924384625137,1714.6,36.65842331579469,1717.6,38.53621673179659,1594,31.67964646267379,1627.6,32.57360894957757,-1,-1
48,1928.2,43.865248204016815,1897.2,25.810075552001006,1957,80.43631020876082,1932.4,50.94153511624871,1819,26.578186544608343,1839.4,50.744851955641764,-1,-1
52,2251.4,37.44115382837446,2256.6,59.49319288792626,2254.8,49.90150298337716,2293.8,43.67333282450515,2181.2,9.239047569960878,2186.4,114.8435457481177,-1,-1
56,2533.2,42.07802276723563,2568.2,70.41136271937931,2626.2,38.12820478333592,2604.8,39.51404813480897,2472.8,32.39382657235789,2459.8,73.61901928170464,-1,-1
60,2771.8,46.922915510441165,2813.6,60.829598058839736,2812.8,81.15269558061519,2845,118.82592309761368,2736.2,19.579581200832667,2687,91.65587815301318,-1,-1
64,3164.2,38.42082768499398,3188.2,54.57252055751136,3043.8,54.45511913493533,3299.8,118.41520172680534,3034.4,75.12283274744104,2930,83.13603310237987,-1,-1
68,3570.4,116.10099052118375,3614.6,113.3747767362741,3681,96.34521264702258,3687.8,43.512756750176145,3482.4,52.864354720359536,3437.6,196.9665961527487,-1,-1
