n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
8,9.14E-06,5.101607589770111E-06,9.9E-06,1.6840427548016711E-06,6.942E-05,1.0101564235305343E-05,7.532E-05,1.1378470899026809E-05,0.0031343000000000005,0.0001943196027167613,0.00538194,0.0017218646899219466,5.0201345,0
10,7.92E-06,2.8909514004908486E-06,1.2580000000000002E-05,5.285603087633425E-06,8.455999999999999E-05,6.93414738810764E-06,0.00011695999999999998,2.155732822035235E-05,0.004739500000000001,8.747701412371159E-05,0.00643756,0.00023019469672431626,-1,-1
12,1.4280000000000002E-05,3.618507979817096E-06,2.196E-05,1.9376274151652586E-06,0.0001497,1.0562954132249176E-05,0.00016986000000000003,6.4001874972535E-06,0.007915799999999999,0.00014817986367924603,0.00870204,0.0008054788230611652,-1,-1
14,2.396E-05,8.587106613988206E-06,4.436E-05,1.3543795627518898E-05,0.00022348,1.6828951244804292E-05,0.00023222,1.8066366541172573E-05,0.01180446,0.00019466696278516206,0.01358066,0.0012964173488502842,-1,-1
16,2.13E-05,5.9585233069947795E-06,4.8859999999999996E-05,5.4441160898717065E-06,0.00031338,1.484458150302662E-05,0.00033238,2.0024425085380107E-05,0.016894740000000002,0.0001768183994950752,0.014832719999999999,0.0014727508688165834,-1,-1
18,4.5419999999999995E-05,2.0786668804789284E-05,8.499999999999999E-05,2.1337103833463433E-05,0.00043724000000000004,2.9078899566524178E-05,0.0005031,5.7300715527818674E-05,0.02292978,0.00030567708059322976,0.01785066,0.0018994535104603111,-1,-1
20,6.249999999999999E-05,2.4813544688335042E-05,8.264000000000001E-05,1.65652165696679E-05,0.000535,9.282672029108855E-06,0.00060612,9.451222143193976E-06,0.02967338,0.0008714513305974103,0.024176819999999995,0.0019103862200089278,-1,-1
22,0.00010344,2.1202886595933115E-05,0.00014314000000000002,2.6480906328900456E-05,0.00066972,1.8945437445464284E-05,0.0007228,4.152945942340207E-05,0.03818608,0.0005763854279906804,0.02926828,0.00211624835442346,-1,-1
24,0.00010642,2.9521476927823237E-05,0.00018484,2.2013141529550016E-05,0.00089452,3.6408317730980124E-05,0.00092008,7.676328288967323E-05,0.04793208,0.0010141752578326872,0.034466420000000005,0.0029375690748644546,-1,-1
26,9.362000000000002E-05,3.347718028747344E-05,0.00024038000000000003,3.571898094850972E-05,0.00104258,3.8575712566328604E-05,0.00111756,8.505568999191063E-05,0.0574273,0.0005965508829932301,0.039022219999999996,0.002384010947458086,-1,-1
