n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
10,2,0.6324555320336759,1,0,2.6,0.8,2.8,0.7483314773547882,17.2,2.85657137141714,5360,276.51401411140085,0,0
12,2.6,1.019803902718557,1.2,0.4000000000000001,2.6,1.2,1.8,0.7483314773547883,26.2,5.635601121442148,4421.6,257.2241046247415,0,0
14,2.4,0.4898979485566356,1.4,0.4898979485566356,2.6,1.019803902718557,2.4,0.4898979485566356,22.8,6.144916598294887,5213.8,1082.6089598742474,0,0
15,4,1.0954451150103321,1.8,0.7483314773547883,6.2,0.39999999999999997,4.8,2.4819347291981715,52.8,3.8678159211627436,7354.2,543.7092605428015,-1,-1
18,4.8,1.9390719429665317,3.6,0.8,4.6,1.624807680927192,4.2,1.469693845669907,45,5.291502622129181,8198.2,2212.3385274410425,-1,-1
20,4.8,1.8330302779823358,3,1.4142135623730951,5.4,1.3564659966250536,5.8,1.469693845669907,55.6,4.409081537009721,16962.2,660.6007568872443,-1,-1
24,6,2.0976176963403033,3.2,1.469693845669907,5,1.2649110640673518,3.6,1.019803902718557,52,3.7416573867739413,18394.8,2042.2112917129805,-1,-1
25,6.8,1.6,4,0.8944271909999159,7.8,1.7204650534085253,8.6,2.870540018881465,97.6,5.499090833947008,19963,899.4111406915082,-1,-1
30,6.4,2.4166091947189146,6,2.1908902300206643,10.6,2.244994432064365,9,3.40587727318528,84.8,6.305553108173779,19745,3282.574050954525,-1,-1
35,13.4,4.6303347611160905,7.6,2.870540018881465,17.2,5.114684741017769,14.2,2.6381811916545836,149.6,31.296006134968724,31471,3375.9231033896494,-1,-1
40,11.6,3.006659275674582,7.2,4.069397989875161,10.6,3.49857113690718,12.2,5.192301994298868,118.6,15.304901175767194,36164.4,2334.7929758331893,-1,-1
45,7,1.7888543819998317,4.2,1.16619037896906,11.8,3.3105890714493698,16,7.238784428341543,130.6,12.387090053761618,42794.8,4043.7571341513576,-1,-1
50,14.8,6.9397406291589885,6,3.1622776601683795,13.4,2.244994432064365,13.2,1.469693845669907,155.6,8.039900496896713,44626.4,5093.846625095813,-1,-1
55,14.2,5.912698199637793,9.2,4.578209256903839,18.8,8.704022058795578,16.2,7.730459236035076,181.2,35.907659350060676,53412.6,4946.333373318059,-1,-1
60,23.2,10.087616170334794,13.4,7.4993333037010705,12.2,1.469693845669907,25.6,7.144228439796701,226.8,18.1151869987588,59170.8,4926.938578874309,-1,-1
65,14.2,7.19444229944198,17.6,9.264987857520376,17.6,11.757550765359253,30.4,12.499599993599796,237.6,36.64751014734835,70297.8,7662.025565083949,-1,-1
70,16.4,9.00222194794152,9,4.604345773288535,13.4,1.7435595774162693,14.2,6.910861017268399,229.2,29.620263334413487,74919,4981.709385341542,-1,-1
75,14.2,2.315167380558045,6.8,1.16619037896906,16.8,1.7204650534085253,14.2,2.3151673805580453,180.8,23.27573844156185,72528.4,9095.966459920573,-1,-1
80,12.6,4.079215610874228,11,11.009087155618309,19.2,9.765244492586962,34.6,10.707007051459339,293.4,64.81543026162828,77647.8,9625.1777001778,-1,-1
85,16.6,3.261901286060018,8.4,2.33238075793812,25.6,10.928860873851402,19,2,215.8,42.1872018507983,85916.2,5467.089441375548,-1,-1
90,18.4,11.876026271442818,19.6,11.359577456930342,21.6,9.645724441429994,34.6,16.84755175092215,344.8,12.155657119218196,89050,6606.105388199616,-1,-1
95,14,4.604345773288535,15.6,10.190191362285598,45.4,15.317963311093287,25.6,14.122322755127783,302,64.63745044476924,86642.4,5101.1416212451895,-1,-1
100,21.4,5.314132102234569,10.8,1.6,22.2,2.7129319932501073,22.4,3.6660605559646724,237.6,18.607525359380812,93018.8,6762.739782070577,-1,-1
105,27,15.786069808536892,18.8,9.325234581499814,31.2,19.093454375780198,39.6,18.39130229211624,412.6,63.57546696643289,273777.8,335865.06310147827,-1,-1
110,17,12.569805089976535,12.2,9.282241108697834,20.4,16.74037036627326,26,13.206059215375342,333,30.78311225331188,116655.6,11829.691941889272,-1,-1
115,19,4.2895221179054435,8.8,1.9390719429665315,21.8,5.2306787322488075,23,5.621387729022079,241.8,8.280096617793781,105666.4,6328.701560351855,-1,-1
120,18.8,3.4292856398964493,8.4,1.2,29.2,17.982213434391216,30.4,11.271202242884296,312.6,58.81700434398202,111539.8,6529.072840763841,-1,-1
125,19.8,2.4,10,2.0976176963403033,23.6,3.006659275674582,54.2,17.554486605993354,306.4,62.930437786495645,119653,4562.628014642439,-1,-1
130,18.2,4.1182520563948,8.2,0.9797958971132712,39.8,27.345200675804154,20.6,2.0591260281974,347.8,26.805969484426416,354468.2,438052.1362392381,-1,-1
135,40.2,24.50632571398658,42.4,16.329115101560156,33.4,19.815145722401336,36,21.475567512873788,452.2,103.3719497736209,599117.6,560944.8163210353,-1,-1
140,21.8,2.315167380558045,15.6,10.781465577554842,33.8,21.664717861075413,33,19.56527536223296,297,36.155220923125334,134597,6767.683296372548,-1,-1
145,24.4,4.127953488110059,13,3.286335345030997,29.6,4.758150901348127,30.4,2.8000000000000003,321.4,32.08488740824876,142627.2,10986.312728117655,-1,-1
