n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
10,7,0,7,0,7,0,7,0,7,0,7.2,0.39999999999999997,7,0
12,9.4,1.4966629547095764,10.6,0.7999999999999999,9.4,0.7999999999999999,10.2,0.9797958971132713,7.8,0.9797958971132712,7,0,7,0
14,14,0,14,0,14,0,14,0,14,0,10,0,10,0
15,5.8,0.9797958971132712,6.6,1.3564659966250536,5.8,0.9797958971132712,6.6,1.3564659966250536,5,0,5,0,-1,-1
18,9.4,1.3564659966250536,8,1.0954451150103321,9.6,1.2,8.8,1.9390719429665315,7.6,0.7999999999999999,6,0,-1,-1
20,10,0,9.8,0.39999999999999997,10,0,9.8,0.39999999999999997,7.8,1.469693845669907,6.4,0.7999999999999999,-1,-1
24,10.8,1.4696938456699067,11.4,1.2,12,0,12,0,8.2,0.9797958971132712,6.4,0.7999999999999999,-1,-1
25,6.2,1.469693845669907,6.2,0.9797958971132712,5.4,0.48989794855663565,6.4,1.3564659966250536,5,0,4.4,0.48989794855663565,-1,-1
30,10,0,8,1.7888543819998317,8.6,1.9595917942265424,9.6,0.7999999999999999,7.2,1.469693845669907,5,0,-1,-1
35,6,1.0954451150103321,6.4,1.8547236990991407,5.4,0.48989794855663565,6.4,1.8547236990991407,5.2,0.39999999999999997,4.6,1.3564659966250536,-1,-1
40,8.4,0.48989794855663565,8.4,0.48989794855663565,9,0.6324555320336759,8.8,0.39999999999999997,8,0,4.4,0.48989794855663565,-1,-1
45,10,0,10,0,10,0,8,2.449489742783178,6.2,1.9390719429665317,5,0.6324555320336759,-1,-1
50,8.8,1.6,9.2,1.5999999999999999,9.8,0.39999999999999997,10,0,6.8,0.9797958971132712,3,0,-1,-1
55,7.6,2.244994432064365,7.2,2.3151673805580453,8,1.7888543819998317,8.4,1.4966629547095764,5.2,0.39999999999999997,4.4,1.0198039027185568,-1,-1
60,7.4,2.1540659228538015,8.2,2.2271057451320084,10,0,7.8,1.6,5.2,0.39999999999999997,3.6,1.2000000000000002,-1,-1
65,9,2,7.8,2.039607805437114,9.2,1.5999999999999999,7.4,1.7435595774162693,5.2,0.39999999999999997,3.2,0.39999999999999997,-1,-1
70,9,2,9.6,0.7999999999999999,10,0,9.6,0.7999999999999999,5.6,1.2,4.6,0.7999999999999999,-1,-1
75,10,0,10,0,10,0,10,0,9,2,3,0,-1,-1
80,10,0,9,2,9,2,6.6,2.0591260281974,5,0,3.6,0.8,-1,-1
85,10,0,10,0,9,2,10,0,7.2,2.3151673805580453,3.4,0.8,-1,-1
90,9,2,7,2.449489742783178,9.2,0.9797958971132713,7.8,2.039607805437114,5,0,3.2,0.39999999999999997,-1,-1
95,10,0,8,2.449489742783178,6,2,8,2.449489742783178,5,0,3,0,-1,-1
100,10,0,10,0,10,0,10,0,9,2,3.6,0.8,-1,-1
105,8,2.449489742783178,7.6,2.244994432064365,8,2.449489742783178,7,2.449489742783178,5,0,3.8,0.9797958971132712,-1,-1
110,9,2,8.2,2.2271057451320084,9,2,8,2.449489742783178,5,0,4.2,0.9797958971132712,-1,-1
115,10,0,10,0,10,0,10,0,9.6,0.7999999999999999,5,1.0954451150103321,-1,-1
120,10,0,10,0,9,2,9,2,5,0,3.4,0.8,-1,-1
125,10,0,10,0,10,0,7,2.449489742783178,6,2,3,0,-1,-1
130,10,0,10,0,8,2.449489742783178,10,0,5,0,3,0,-1,-1
135,8.2,2.2271057451320084,6.8,1.6,9.2,1.5999999999999999,9.2,1.5999999999999999,6,2,5,1.0954451150103321,-1,-1
140,10,0,9,2,9,2,9,2,5,0,3.4,0.8,-1,-1
145,10,0,10,0,10,0,10,0,8.2,2.2271057451320084,3.8,0.9797958971132712,-1,-1
150,10,0,10,0,8,2.449489742783178,7,2.449489742783178,5,0,3,0,-1,-1
155,10,0,10,0,9,2,10,0,6,2,3.4,0.8,-1,-1
160,10,0,10,0,9.2,1.5999999999999999,10,0,6.6,2.0591260281974,3.4,0.8,-1,-1
165,9,2,10,0,9,2,10,0,6,2,3,0,-1,-1
170,9,2,10,0,9.2,1.5999999999999999,10,0,7,2.449489742783178,3.6,0.8,-1,-1
175,10,0,10,0,9,2,10,0,7,2.449489742783178,4.4,1.2,-1,-1
180,10,0,10,0,10,0,10,0,7.8,2.0396078054371136,5.2,0.39999999999999997,-1,-1
185,10,0,10,0,10,0,10,0,9,2,3.4,0.8000000000000002,-1,-1
190,10,0,10,0,10,0,10,0,7,2.449489742783178,3.4,0.8,-1,-1
195,10,0,10,0,10,0,10,0,9.6,0.7999999999999999,3,0,-1,-1
200,10,0,10,0,10,0,10,0,8.2,2.2271057451320084,5.4,0.48989794855663565,-1,-1
