n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
6,0,0,0,0,0,0,0,0,2.5805555555555553,0.5937275011981611,2.883957686598022,0.09200841507780497,-1,-1
12,0,0,0,0,0,0,0,0,8.73568750937172,1.363004140335353,6.047650485405478,0.14248230355403718,-1,-1
18,0,0,0,0,0,0,0,0,13.269376193546407,1.0411160025759816,8.8801550704959,0.22676479255422646,-1,-1
24,0,0,0,0,0,0,0,0,20.50602419132,4.738194917165806,11.22876543095174,0.05821711133992161,-1,-1
30,0,0,0,0,0,0,0,0,23.882589513944627,2.909127432989158,13.448290967993685,0.1893686740982919,-1,-1
36,0,0,0,0,0,0,0,0,27.173916727795426,2.734761441938973,15.75257887629692,0.3351957171093299,-1,-1
42,0,0,0,0,0,0,0,0,41.328050743744406,5.317121687629842,17.9355384903226,0.3324867191459885,-1,-1
48,0,0,0,0,0,0,0,0,51.50172569326154,9.670556565661204,19.825005311889207,0.47883509135364116,-1,-1
54,0,0,0,0,0,0,0,0,49.956223576371215,5.388057629018017,19.445321527073823,5.110301261198636,-1,-1
60,0,0,0,0,0,0,0,0,56.428959030685974,3.6128353034307947,23.690552533703094,0.4964906293046596,-1,-1
66,0,0,0,0,0,0,0,0,62.8669337407599,5.106901693550959,22.277269171678494,7.21433618669913,-1,-1
72,0,0,0,0,0,0,0,0,75.14881597623469,5.735589090497279,23.906688817602657,7.913968041405081,-1,-1
78,0,0,0,0,0,0,0,0,76.2427462512291,4.183722737328371,30.077597700450138,1.045429412437663,-1,-1
84,0,0,0,0,0,0,0,0,84.13878780019515,7.078208110752627,28.05709610575924,9.848896211858534,-1,-1
90,0,0,0,0,0,0,0,0,100.1122474608139,11.678399408722537,30.627881449003638,11.08457956282486,-1,-1
96,0,0,0,0,0,0,0,0,102.51378889182192,13.066679663133801,37.41721305776186,2.206478512409447,-1,-1
102,0,0,0,0,0,0,0,0,104.44296451079678,8.587781676537858,33.4448549299528,12.676773196950199,-1,-1
108,0,0,0,0,0,0,0,0,115.13704656549244,13.689831102936978,27.330890452196012,15.473284987837507,-1,-1
114,0,0,0,0,0,0,0,0,130.09420310226446,14.498717546743817,38.999066328014166,15.615425860236332,-1,-1
120,0,0,0,0,0,0,0,0,130.5936446593257,7.738912254674159,33.57136494134776,12.67672874766715,-1,-1
126,0,0,0,0,0,0,0,0,145.34629308757255,13.46327969268121,47.07439706603315,6.411282288036126,-1,-1
132,0,0,0,0,0,0,0,0,157.90905287618105,11.228187462495365,32.45223350937992,20.292379239270446,-1,-1
138,0,0,0,0,0,0,0,0,161.4142385697623,3.590262883299455,24.946477355747856,20.582834775519245,-1,-1
144,0,0,0,0,0,0,0,0,154.90090239916347,15.691289818576498,59.92173920934448,6.697550897759444,-1,-1
150,0,0,0,0,0,0,0,0,167.23942936287656,12.836906325516809,28.69881075172491,24.47022786878377,-1,-1
156,0,0,0,0,0,0,0,0,172.90777428338396,21.145084116541685,20.266681842769053,23.104560663783015,-1,-1
162,0,0,0,0,0,0,0,0,190.03366078191576,8.218054916729864,16.12866769479239,16.43713365231116,-1,-1
168,0,0,0,0,0,0,0,0,206.6752863346823,20.824336751578663,51.03996271580746,25.008226620269248,-1,-1
174,0,0,0,0,0,0,0,0,199.34579643478907,17.108514416111962,64.08871238059635,28.300733625991146,-1,-1
180,0,0,0,0,0,0,0,0,205.22298018918212,14.38672244286819,15.396502779571424,16.546057400401228,-1,-1
186,0,0,0,0,0,0,0,0,233.32779470610208,17.471596454829452,64.82113658324553,31.92059711252389,-1,-1
192,0,0,0,0,0,0,0,0,240.28585374821245,20.665320105536207,47.09508021138739,39.56505648721104,-1,-1
198,0,0,0,0,0,0,0,0,230.0349359785295,8.07799697945306,21.387898252821827,23.665235600935898,-1,-1
