n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
6,3.02E-06,3.1914886808509914E-06,1.5E-06,3.0331501776206196E-07,1.862E-05,2.8435189466574694E-06,1.756E-05,2.727636339397169E-07,0.00099438,2.1446155832689544E-05,0.0019564,5.8085833040423965E-05,-1,-1
12,6.36E-06,2.0204949888579283E-06,5.3400000000000005E-06,2.332380757938121E-07,0.00013586,1.1842297074469963E-06,0.00013884000000000002,2.672526894158408E-06,0.00801766,0.00011726115469327376,0.00892034,0.0003371563708429665,-1,-1
18,1.304E-05,1.931424344881259E-06,1.236E-05,9.2E-07,0.00039752,7.094335768766508E-06,0.00039591999999999996,2.708062037694116E-06,0.02289816,0.0001320562395345254,0.021730680000000002,0.0006070844073108778,-1,-1
24,2.7799999999999998E-05,2.7539063164893627E-06,2.6340000000000002E-05,4.586937976471892E-07,0.0008285,4.2758531312476125E-05,0.00080774,1.0548288960774645E-05,0.04803948,0.0008787256441005921,0.039866439999999996,0.0005250184210101587,-1,-1
30,4.348E-05,3.532364647088406E-06,4.102E-05,4.354308211415446E-07,0.0014036,5.6196334400030035E-05,0.00140068,3.496120135235632E-05,0.08102077999999999,0.0007467802525509085,0.06201095999999999,0.0011316442914626476,-1,-1
36,5.002E-05,4.491503089167365E-06,4.7480000000000006E-05,4.621688003316526E-07,0.0021423600000000003,7.107348310023955E-06,0.0021642,8.423063575683054E-06,0.1260795,0.0017522175401473463,0.08958756,0.0017927456011380995,-1,-1
42,6.714E-05,3.504054794092124E-06,7.868E-05,1.4952110218962406E-05,0.0031414200000000002,1.8087277296486603E-05,0.0031335399999999998,2.4933639926813647E-05,0.18474766,0.0037704600889546668,0.11959686,0.0024043633008345496,-1,-1
48,9.596000000000001E-05,1.5493043600274292E-05,8.957999999999999E-05,7.144900279220138E-06,0.00431136,0.00011745699808866198,0.0042793399999999995,2.7696830143538265E-05,0.24959530000000002,0.0034602504273534844,0.15023415999999998,0.00369908475036731,-1,-1
54,0.00011072,4.256477416831903E-06,0.00011068,3.310226578347773E-06,0.00597374,0.00027914947680409503,0.00663556,0.0016658624776373348,0.326858,0.004302021201249493,0.3394238,0.2941044909752111,-1,-1
60,0.00013704,2.635602397934867E-06,0.00013438,8.975522268926754E-07,0.007123839999999999,3.979073258938558E-05,0.007189139999999999,2.8406379565161337E-05,0.42115344000000005,0.002898212167940783,0.22955086000000002,0.005063064479779018,-1,-1
66,0.00016732,5.961342130762163E-06,0.00016533999999999999,2.8082734909548946E-06,0.00920438,0.0002141472614814394,0.009153,0.00011098365645445273,0.52752646,0.00791923371282856,0.5344230600000001,0.5176731823858509,-1,-1
72,0.00020125999999999998,5.417600945067846E-06,0.00019412,2.9768439663509406E-06,0.01079366,3.7773249794000804E-05,0.01081414,1.1436712814440945E-05,0.63172612,0.0038875176266610014,0.6342714199999999,0.6302254643722591,-1,-1
78,0.00023051999999999998,5.9273602893699624E-06,0.00022894000000000001,4.0529495432339145E-06,0.01303436,0.00021138717652686542,0.012978739999999999,2.1131928449623174E-05,0.7562490800000001,0.002449435949274874,0.37175982,0.01700566301564277,-1,-1
84,0.00028263999999999996,2.869805568326885E-05,0.00027917999999999997,1.6733487383089037E-05,0.015203659999999999,4.174817840337486E-05,0.015354479999999998,9.228615064027759E-05,0.88961734,0.005713945731138849,0.89436608,0.8996011844066645,-1,-1
90,0.00030869999999999997,7.1310588274112676E-06,0.00030196,2.206898275861397E-06,0.018045360000000003,0.0001953535215961058,0.01809032,5.107666394744234E-05,1.0718055400000002,0.01122805253703425,1.0823349400000002,1.0806215137327346,-1,-1
96,0.00037434,1.2007264467812813E-05,0.00037126000000000005,2.8781772009381218E-05,0.022883240000000003,0.001505317344083964,0.02243446,0.0005016118284091797,1.2444380599999998,0.030960146582702065,0.5818976,0.045032490041524466,-1,-1
102,0.00040748,2.0763467918437898E-05,0.00040494,2.230305808628045E-05,0.024122640000000004,0.000498059067179787,0.02403476,0.0002967726982052086,1.42114212,0.028736740751685835,1.36618884,1.4048669879192157,-1,-1
108,0.00044847999999999996,1.0015867411262997E-05,0.00044346,8.458983390455385E-06,0.02751754,0.00013889981425473585,0.02782906,0.0004068120480025148,1.6309897000000002,0.04456795138805458,2.3171574600000002,2.002983349805501,-1,-1
114,0.00049672,1.0826522987552361E-05,0.00048022000000000006,1.2400000000000087E-06,0.031331679999999994,0.00014737670643626033,0.03065496,0.00024131888115106186,1.7880849600000002,0.015376935774542199,1.7488678400000002,1.746844640878645,-1,-1
120,0.0005740999999999999,5.270286519725472E-05,0.00053584,5.04007936445449E-06,0.034500039999999996,0.0001876290872972534,0.034338820000000006,0.00011516505372724853,2.00201182,0.009199830358522737,1.74780766,2.0501532151105666,-1,-1
126,0.0006246,3.721961848273031E-05,0.00058976,2.6257189491641805E-06,0.03816946,0.00010729228490436745,0.0382387,8.178640473819513E-05,2.24526048,0.01627520590522887,0.94240542,0.18665226355596548,-1,-1
132,0.00067814,1.0146053419926381E-05,0.00066424,1.391827575527946E-05,0.04259164,0.00016271863568749606,0.04260254,0.00018675440128682484,2.5057398799999997,0.022207672172058053,3.6551125,3.277251297292569,-1,-1
138,0.0007341400000000001,3.235185311539355E-05,0.00071066,4.731426846100464E-06,0.04705144,0.00032540530173922905,0.046991080000000005,5.253468949180108E-05,2.7710256200000005,0.01978454453945301,5.25715198,3.4187876069182783,-1,-1
144,0.00079836,7.620131232465748E-06,0.0007968600000000001,6.789580252121631E-06,0.0524566,0.0005445407128948231,0.052331539999999996,0.00028168198806455285,3.02670204,0.021223104212023208,1.43481652,0.21432240565840424,-1,-1
150,0.0008671200000000001,2.2049344661463288E-05,0.0008428399999999999,7.561375536236788E-06,0.056401400000000004,9.134635187023251E-05,0.056784140000000004,0.00020574583932609657,3.3102281000000007,0.019313242809843957,6.70948866,4.332891627692752,-1,-1
156,0.00101204,2.781629738121159E-05,0.0009067999999999999,4.3776706134655815E-06,0.06288604,0.002534538933691886,0.06180852,0.0001662566858805971,3.5988798800000006,0.03721074828473091,9.14298506,3.7529737039610436,-1,-1
162,0.0009899,9.64593178495477E-06,0.00098288,3.942790889712492E-06,0.06763933999999999,0.0004308135030381446,0.0672372,2.595534627008831E-05,3.9565352000000003,0.016925326423322014,8.71380252,3.8260002105537825,-1,-1
168,0.00109994,1.0716268007100193E-05,0.00110022,9.202912582438282E-06,0.07505284,0.00016141425711503653,0.0753402,0.0003068983610252772,4.2935821,0.03533115848635592,3.54812308,4.049129375464651,-1,-1
174,0.0012189199999999999,0.0001073766715818664,0.00114842,1.5584017453789033E-05,0.07884854,0.0003291041087558755,0.07926838,0.0003844040395209163,4.600841900000001,0.03426070125423605,4.23824206,3.883374461976837,-1,-1
180,0.00123836,1.6138723617436442E-05,0.00123362,1.0465639015368356E-05,0.08501774,0.00042119238644590715,0.08617244,0.0009238013392499494,4.98990566,0.019831261476023078,9.773011539999999,4.47633981283057,-1,-1
186,0.0013280800000000001,5.1284126199049196E-05,0.0012985800000000001,1.2469065722819846E-05,0.09157669999999998,0.0009954702305945665,0.09195269999999998,0.00047909959298667466,5.407958720000001,0.040077727830973825,4.054844180000001,3.2781495282502346,-1,-1
192,0.00143692,7.232336828439341E-05,0.0013836,9.290209900750316E-06,0.09821828,0.00028676624906009794,0.09876446,0.0008687337373441885,5.903661100000001,0.13349562353599434,3.2409563999999995,1.5505221896878327,-1,-1
198,0.00150732,1.309219614885141E-05,0.00147776,5.7245436499340455E-06,0.10533866,0.0006373555039379538,0.10550706000000001,0.0003993266061759466,6.165847019999999,0.01837000534440844,3.3932439000000003,2.3456177975325887,-1,-1
